"Liturgical Year","Date","Day of Week","Class","Obligatory","Colour","Mass","Commemoration","Folder"
2020,15-3-2020,"Sunday","I","+","violet","3rd Sunday of Lent","","./1962/Lent/3/Sunday/"
2020,16-3-2020,"Monday","III","","violet","Feria of Lent","","./1962/Lent/3/Monday/"
2020,17-3-2020,"Tuesday","III","","violet","Feria of Lent","St. Patrick Bishop and Confessor, III class.","./1962/Lent/3/Tuesday/"
2020,18-3-2020,"Wednesday","III","","violet","Feria of Lent","St.Cyril Bishop of Jerusalem, Confessor, and Doctor of the Church, III class.","./1962/Lent/3/Wednesday/"
2020,19-3-2020,"Thursday","I","+","white","St. Joseph, Spouse of the Blessed Virgin Mary, Confessor, and Patron of the Universal Church, I class.","","./1962/Lent/3/Thursday/"
2020,20-3-2020,"Friday","III","","violet","Feria of Lent","","./1962/Lent/3/Friday/"
2020,21-3-2020,"Saturday","III","","violet","Feria of Lent","St. Benedict Abbot, III class.","./1962/Lent/3/Saturday/"
2020,22-3-2020,"Sunday","I","+","rose","Laetare Sunday","","./1962/Lent/4/Sunday/"
2020,23-3-2020,"Monday","III","","violet","Feria of Lent","","./1962/Lent/4/Monday/"
2020,24-3-2020,"Tuesday","III","","violet","Feria of Lent","St. Gabriel the Archangel, III class.","./1962/Lent/4/Tuesday/"
2020,25-3-2020,"Wednesday","I","","white","Annunciation of the Blessed Virgin Mary, I class.","","./1962/Lent/4/Wednesday/"
2020,26-3-2020,"Thursday","III","","violet","Feria of Lent","","./1962/Lent/4/Thursday/"
2020,27-3-2020,"Friday","III","","violet","Feria of Lent","St. John Damascene Confessor and Doctor of the Church, III class","./1962/Lent/4/Friday/"
2020,28-3-2020,"Saturday","III","","violet","Feria of Lent","St. John Capistran Confessor, III class","./1962/Lent/4/Saturday/"
2020,29-3-2020,"Sunday","I","+","violet","Passion Sunday","","./1962/Lent/5/Sunday/"
2020,30-3-2020,"Monday","III","","violet","Monday of Passion Week","","./1962/Lent/5/Monday/"
2020,31-3-2020,"Tuesday","III","","violet","Tuesday of Passion Week","","./1962/Lent/5/Tuesday/"
2020,1-4-2020,"Wednesday","III","","violet","Wednesday of Passion Week","","./1962/Lent/5/Wednesday/"
2020,2-4-2020,"Thursday","III","","violet","Thursday of Passion Week","St. Francis of Paula Confessor, III class.","./1962/Lent/5/Thursday/"
2020,3-4-2020,"Friday","III","","violet","Friday of Passion Week","Feast of the Seven Sorrows of Mary","./1962/Lent/5/Friday/"
2020,4-4-2020,"Saturday","III","","violet","Saturday of Passion Week","St. Isidore Bishop, Confessor, and Doctor of the Church, III class.","./1962/Lent/5/Saturday/"
